107-06-09    11:13                                            Page      1.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
 _  TA220D1  PKGE         3    .00%    .00% 00:00.018793 00:00.001176         17
 _  EESR028R PKGE         2    .00%    .00% 00:00.067805 00:00.001168         10
 _  PR591D1  PKGE        12    .00%    .00% 00:00.001122 00:00.001110         33
 _  EA508D1  PKGE         5    .00%    .00% 00:00.009289 00:00.001084          8
 _  SS781A   PKGE        11    .00%    .00% 00:00.007952 00:00.001069         24
 _  TA051R3  PKGE        18    .00%    .00% 00:00.022558 00:00.001068         10
 _  IC515D1  PKGE        21    .00%    .00% 00:00.001204 00:00.001067         12
 _  EA520D1  PKGE         2    .00%    .00% 00:00.007310 00:00.001034         12
 _  EESR057R PKGE         2    .00%    .00% 00:00.034118 00:00.001006         18
 _  TA053R3  PKGE        27    .00%    .00% 00:00.009351 00:00.001002          8
 _  GD536D1  PKGE        12    .00%    .00% 00:00.001109 00:00.000998         43
 _  EA518D1  PKGE         4    .00%    .00% 00:00.086532 00:00.000986         12
 _  PR586D1  PKGE         6    .00%    .00% 00:00.001043 00:00.000983         12
 _  GD531D1  PKGE         2    .00%    .00% 00:00.012574 00:00.000978         16
 _  EC552D1  PKGE         3    .00%    .00% 00:00.026620 00:00.000972         13
 _  EA527D1  PKGE         1    .00%    .00% 00:00.032526 00:00.000940          8
 _  EA502D1  PKGE         1    .00%    .00% 00:00.134867 00:00.000923          4
 _  TA131R1  PKGE         7    .00%    .00% 00:00.000924 00:00.000918         27
 _  SE200R1  PKGE         3    .00%    .00% 00:00.071006 00:00.000897          8
 _  EA525D1  PKGE         3    .00%    .00% 00:00.028725 00:00.000889          7
 _  TA052R3  PKGE        18    .00%    .00% 00:00.018190 00:00.000869          6
 _  GD533D1  PKGE         2    .00%    .00% 00:00.016253 00:00.000851         24
 _  TA247R3  PKGE        18    .00%    .00% 00:00.000936 00:00.000784          6
 _  EESR039R PKGE         2    .00%    .00% 00:00.011404 00:00.000761          6
 _  EC502D2  PKGE         9    .00%    .00% 00:00.001742 00:00.000751          6
 _  TA026R3  PKGE        21    .00%    .00% 00:00.000741 00:00.000737         12
 _  EC559D1  PKGE        12    .00%    .00% 00:00.000757 00:00.000735          6
 _  TRINSPON TRIG         1    .00%    .00% 00:00.062088 00:00.000733          6
 _  EC557D1  PKGE         6    .00%    .00% 00:00.109721 00:00.000727         10
 _  EA500D2  PKGE         9    .00%    .00% 00:00.007136 00:00.000720          6
 _  TA192R1  PKGE        11    .00%    .00% 00:00.000719 00:00.000712         14
107-06-09    11:13                                            Page     14.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  MI030R1  PKGE         3    .00%    .00% 00:00.019183 00:00.000709         11
 _  TA115R3  PKGE        12    .00%    .00% 00:00.000728 00:00.000693         12
 _  GD539D1  PKGE         1    .00%    .00% 00:00.003944 00:00.000690          8
 _  SSR0220R PKGE         4    .00%    .00% 00:00.174870 00:00.000672         80
 _  TA195D1  PKGE         3    .00%    .00% 00:00.011456 00:00.000671          5
 _  EESR040R PKGE         2    .00%    .00% 00:00.001467 00:00.000668          6
 _  TA255D1  PKGE         7    .00%    .00% 00:00.003222 00:00.000667          6
 _  EESR037R PKGE         2    .00%    .00% 00:00.018377 00:00.000667          6
 _  GD526D1  PKGE         4    .00%    .00% 00:00.011779 00:00.000664         12
 _  EESR038R PKGE         2    .00%    .00% 00:00.016396 00:00.000637          6
 _  GD535D1  PKGE         1    .00%    .00% 00:00.022807 00:00.000625          8
 _  EESR031R PKGE         2    .00%    .00% 00:00.000942 00:00.000620          6
 _  EESR041R PKGE         2    .00%    .00% 00:00.000670 00:00.000603          4
 _  OR546D2  PKGE        18    .00%    .00% 00:00.000589 00:00.000571         15
 _  TA351D1  PKGE         3    .00%    .00% 00:00.012812 00:00.000520          2
 _  GD540D1  PKGE         1    .00%    .00% 00:00.014721 00:00.000509          9
 _  TA362D1  PKGE        12    .00%    .00% 00:00.000485 00:00.000483          6
 _  TA004R1  PKGE        21    .00%    .00% 00:00.006671 00:00.000481          2
 _  GD534D1  PKGE         6    .00%    .00% 00:00.000444 00:00.000439          6
 _  TA018R1  PKGE        10    .00%    .00% 00:00.000391 00:00.000389          2
 _  RER0460R PKGE         2    .00%    .00% 00:00.000366 00:00.000359          5
 _  EESR013M PKGE         1    .00%    .00% 00:00.000404 00:00.000349          0
 _  TA138R1  PKGE         5    .00%    .00% 00:00.000348 00:00.000346          3
 _  TA031R1  PKGE         9    .00%    .00% 00:00.000356 00:00.000346          3
 _  GD526D2  PKGE         3    .00%    .00% 00:00.000714 00:00.000282          3
 _  EESR009L PKGE         2    .00%    .00% 00:00.000280 00:00.000265          0
 _  GD517D2  PKGE         4    .00%    .00% 00:00.000224 00:00.000224          4
 _  GD516D2  PKGE         4    .00%    .00% 00:00.000326 00:00.000217          4
 _  WAP140A  PKGE         3    .00%    .00% 00:00.000217 00:00.000216          3
 _  EESR013L PKGE         2    .00%    .00% 00:00.000144 00:00.000141          0
                                                                                
