107-06-09    11:13                                            Page      1.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
 _  TA096D1  PKGE      4932    .01%    .02% 00:00.364389 00:00.213228       3498
 _  TA120D1  PKGE      2382    .04%    .02% 00:01.082019 00:00.210816       7208
 _  OR536D1  PKGE      1644    .02%    .02% 00:00.639340 00:00.209750       9569
 _  TA239D1  PKGE      7197    .02%    .02% 00:00.574327 00:00.208910       1152
 _  OR525D1  PKGE      2380    .03%    .02% 00:00.810781 00:00.203244       3294
 _  AE502D2  PKGE      2066    .02%    .02% 00:00.470628 00:00.202224       6447
 _  AE502D1  PKGE      1478    .05%    .02% 00:01.381871 00:00.198549       5731
 _  TA111D1  PKGE      4905    .01%    .02% 00:00.342706 00:00.198409       2755
 _  TA251D1  PKGE      2241    .04%    .02% 00:00.956386 00:00.192219       5363
 _  TA192D1  PKGE      2781    .02%    .02% 00:00.536259 00:00.191472       2438
 _  TA281D2  PKGE      5700    .01%    .02% 00:00.260651 00:00.191008       3280
 _  OR508D1  PKGE      2673    .01%    .02% 00:00.342315 00:00.187958       5337
 _  PR574D1  PKGE       614    .00%    .02% 00:00.219989 00:00.184987       1750
 _  TA180D2  PKGE      9968    .01%    .02% 00:00.252811 00:00.181883        768
 _  AL515D2  PKGE      4097    .01%    .02% 00:00.347899 00:00.178904       3108
 _  TA177D1  PKGE      5067    .02%    .02% 00:00.543952 00:00.178103       1536
 _  TA097R3  PKGE      3468    .02%    .02% 00:00.532230 00:00.174343       2940
 _  OR510D2  PKGE      3981    .01%    .02% 00:00.413797 00:00.170877       1628
 _  OR504D1  PKGE      2627    .03%    .01% 00:00.826834 00:00.168485       3101
 _  TA022R3  PKGE      3861    .02%    .01% 00:00.611859 00:00.167608       2334
 _  TA342D2  PKGE      7240    .02%    .01% 00:00.660187 00:00.162048        298
 _  OR527D2  PKGE      6179    .05%    .01% 00:01.364111 00:00.161676       2668
